NO,KOMODITAS,Energi,Protein,Lemak,Karbohidrat,Serat
1,Beras Medium,3570,84,17,771,2
2,Beras Premium,3570,84,17,771,2
3,Gula Pasir Curah,3940,0,0,940,0
4,Minyak Goreng Sawit Kemasan Premium,8840,0,1000,0,0
5,Minyak Goreng Sawit Curah,8840,0,1000,0,0
6,Minyaakita,8840,0,1000,0,0
7,Daging Sapi Paha Belakang,2880,263,195.4,0,0
8,Daging Ayam Ras,2980,182,250,0,0
9,Telur Ayam Ras,1540,124,108,7,0
10,Tepung Terigu,3330,90,10,772,3
11,Kedelai Impor,2860,302,156,301,0
12,Cabai Merah Keriting,360,10,3,73,14
13,Cabai Rawit Merah,360,10,3,73,14
14,Cabai Merah Besar,360,10,3,73,14
15,Bawang Merah,460,15,3,78,21
16,Bawang Putih Honan,1120,45,2,231,6